Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/distributed/fsdp/test_fsdp_mixed_precision.py,66.0,65.0,1.0,0.0,,,,
test/distributed/fsdp/test_fsdp_multiple_forward.py,0.0,0.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_multiple_wrapping.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_optim_state.py,60.0,60.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_overlap.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_pure_fp16.py,2.0,2.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_sharded_grad_scaler.py,20.0,20.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_state_dict.py,179.0,179.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_tp_integration.py,3.0,3.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_traversal.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_uneven.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_unshard_params.py,15.0,15.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_use_orig_params.py,25.0,25.0,0.0,0.0,,,,
test/distributed/fsdp/test_hsdp_dtensor_state_dict.py,8.0,8.0,0.0,0.0,,,,
test/distributed/fsdp/test_shard_utils.py,2.0,2.0,0.0,0.0,,,,
test/distributed/fsdp/test_utils.py,5.0,5.0,0.0,0.0,,,,
test/distributed/fsdp/test_wrap.py,52.0,52.0,0.0,0.0,,,,
test/distributed/launcher/test_api.py,2.0,2.0,0.0,0.0,,,,
test/distributed/launcher/test_run.py,25.0,25.0,0.0,0.0,,,,
test/distributed/nn/jit/test_instantiator.py,3.0,3.0,0.0,0.0,,,,
test/distributed/optim/test_zero_redundancy_optimizer.py,42.0,42.0,0.0,0.0,,,,
test/distributed/pipelining/test_backward.py,5.0,5.0,0.0,0.0,,,,
test/distributed/pipelining/test_microbatch.py,5.0,5.0,0.0,0.0,,,,
test/distributed/pipelining/test_pipe.py,3.0,3.0,0.0,0.0,,,,
test/distributed/pipelining/test_schedule.py,41.0,41.0,0.0,0.0,,,,
test/distributed/pipelining/test_schedule_multiproc.py,29.0,29.0,0.0,0.0,,,,
test/distributed/pipelining/test_stage.py,8.0,8.0,0.0,0.0,,,,
test/distributed/pipelining/test_transformer.py,1.0,1.0,0.0,0.0,,,,
test/distributed/pipelining/test_unflatten.py,1.0,1.0,0.0,0.0,,,,
test/distributed/rpc/cuda/test_tensorpipe_agent.py,99.0,97.0,2.0,0.0,,,,
test/distributed/rpc/test_share_memory.py,1.0,1.0,0.0,0.0,,,,
test/distributed/tensor/debug/test_comm_mode.py,4.0,4.0,0.0,0.0,,,,
test/distributed/tensor/debug/test_comm_mode_features.py,4.0,4.0,0.0,0.0,,,,
test/distributed/tensor/debug/test_debug_mode.py,14.0,13.0,1.0,0.0,,,,
test/distributed/tensor/debug/test_op_coverage.py,1.0,1.0,0.0,0.0,,,,
test/distributed/tensor/experimental/test_local_map.py,6.0,6.0,0.0,0.0,,,,
test/distributed/tensor/experimental/test_register_sharding.py,2.0,2.0,0.0,0.0,,,,
test/distributed/tensor/experimental/test_tp_transform.py,3.0,3.0,0.0,0.0,,,,
